,,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2014,1,Barcelona,38,30,4,4,110,21,94,102.98015200000002,-7.019847999999982,97.777212,28.444292700000002,7.444292700000002,24.727906700000005,73.0493053,5.683534703382722,16.367592989090525,489,114,94.0813,0.08129999999999882
La_liga,2014,2,Real Madrid,38,30,2,6,118,38,92,95.76624299999999,-22.23375700000001,86.10389500000001,42.607198,4.607197999999997,38.89080499999999,47.21309,10.209085456325049,12.929510106152211,351,153,81.7489,-10.251099999999994
La_liga,2014,3,Atletico Madrid,38,23,9,6,67,29,78,57.047670000000004,-9.952329999999996,52.588007999999995,29.069107100000004,0.06910710000000364,26.839271100000005,25.748736900000004,8.982028430893806,9.237090640679778,197,123,73.13530000000002,-4.864699999999985
La_liga,2014,4,Valencia,38,22,11,5,70,32,77,55.06250000000001,-14.937499999999993,49.703978,39.392571999999994,7.392571999999994,33.446477,16.257500999999998,8.709827299105735,7.870224725817145,203,172,63.70679999999999,-13.293200000000013
La_liga,2014,5,Sevilla,38,23,7,8,71,45,76,69.526624,-1.4733760000000018,62.094598999999995,47.86274200000001,2.8627420000000114,41.91652900000001,20.17807,8.276147614918788,9.477804782000847,305,168,67.38669999999999,-8.61330000000001
La_liga,2014,6,Villarreal,38,16,12,10,48,37,60,56.767999,8.767999000000003,55.281438,40.70181300000001,3.7018130000000085,38.47197700000001,16.809461000000006,10.072084889245291,8.67965958232626,242,171,62.73629999999999,2.736299999999993
La_liga,2014,7,Athletic Club,38,15,10,13,42,41,55,45.5421507,3.5421507000000005,41.82615070000001,44.1067075,3.106707499999999,41.7371605,0.08899019999999946,7.462405547667465,9.403964980727908,183,171,53.35850000000001,-1.6414999999999935
La_liga,2014,8,Celta Vigo,38,13,12,13,47,44,51,58.887332,11.887332,54.42766400000001,51.777138,7.777138000000001,46.574205000000006,7.853458999999999,6.056172520220023,10.882769437017172,287,207,55.04879999999999,4.048799999999993
La_liga,2014,9,Malaga,38,14,8,16,42,48,50,46.221008,4.221007999999998,40.878338,54.130818,6.130817999999998,49.515437,-8.637099,7.792069340315362,7.0190679410732155,184,184,48.512800000000006,-1.4871999999999943
La_liga,2014,10,Rayo Vallecano,38,15,4,19,46,68,49,47.790696,1.790695999999997,45.56086799999999,70.43346,2.4334599999999966,65.9738,-20.412932000000005,6.157978375576059,9.73510921556125,147,219,43.54550000000001,-5.454499999999989
La_liga,2014,11,Espanyol,38,13,10,15,47,51,49,43.979193,-3.020806999999998,41.006215,48.3039158,-2.6960842000000014,47.5606418,-6.554426800000002,9.381753858685475,7.158217400854432,173,205,50.385000000000005,1.3850000000000051
La_liga,2014,12,Real Sociedad,38,11,13,14,44,51,46,33.48519699999999,-10.514803000000008,31.255367999999997,51.158117999999995,0.15811799999999465,46.536026,-15.280657999999999,8.614234642115406,8.829567437616348,146,168,38.7818,-7.218200000000003
La_liga,2014,13,Elche,38,11,8,19,35,62,41,39.610853000000006,4.610853000000006,34.26564,58.071769999999994,-3.9282300000000063,51.382272,-17.116632000000003,9.517572254867796,8.623286731035208,107,216,40.671800000000005,-0.3281999999999954
La_liga,2014,14,Getafe,38,10,7,21,33,64,37,33.9685805,0.9685805000000016,32.482020500000004,53.673382,-10.326618000000003,47.728197,-15.2461765,10.145485655483894,7.2356602973749355,114,221,40.103100000000005,3.103100000000005
La_liga,2014,15,Levante,38,9,10,19,34,67,37,35.301705299999995,1.3017052999999947,32.3286043,60.270317,-6.729683000000001,54.181697,-21.853092699999998,12.379267906551261,7.501470880491499,97,224,37.6046,0.6045999999999978
